song,Artist(s),Tempo,Length
You Dont Have to Hurt No More,Mint Condition,114.0,05:22
Tequila Does,Miranda Lambert,114.0,04:01
Nothing Left To Say,Miss Montreal,117.0,03:30
Cemetery,Missy Higgins,117.0,04:09
See the Way,"Misty Edwards,David Brymer",107.0,08:42
Lay It On the Line,Mitch James,100.0,03:05
Ima Dog,"Mitch,YG",100.0,03:33
Little Motel,Modest Mouse,102.0,04:44
Weighed and Found Wanting,"Module,Emma T",106.0,05:21
Natural,"Moe Shop,Ace Hashimoto",110.0,03:35
Natural Disaster,"Molly Moore,Win and Woo",104.0,05:16
Human,Molly Sarlé,107.0,03:54
Grand Romantic Life,Mom Rock,108.0,03:18
Barbarian,Mona Haydar,110.0,03:31
Too Much Right Now,Money Man,107.0,03:16
When I Want,"Mookie Jones,Smoke DZA",116.0,03:47
Cure for Pain,Morphine,109.0,03:14
Break Up the Family,Morrissey,106.0,03:55
Lifetime,Mos Def,106.0,05:47
Only Love,Mother Mother,114.0,04:13
Worry,Mother Mother,103.0,03:53
Im in love with you but...,Mr. Carmack,102.0,03:28
Sanchos Oldie,"Mr. Sancho,Silencer,O.G. Playboy,Royal 'T'",105.0,04:46
Doo Wop That Thing,Ms. Lauryn Hill,100.0,05:20
I Had To Walk,Ms. Lauryn Hill,100.0,05:20
World Is a Hustle,Ms. Lauryn Hill,100.0,05:20
NOTHING ELSE,"Mura Masa,Jamie Lidell",112.0,03:26
Graduation Song,Murphy Radio,100.0,05:36
One Night in Bangkok,Murray Head,109.0,03:56
Golden,My Morning Jacket,110.0,04:39
Common Kid,Myers,113.0,03:28
More Heart Less Attack,NEEDTOBREATHE,118.0,05:03
Sexual,"NEIKED,Dyo",108.0,03:08
Call Me,"NEIKED,MIMI",106.0,03:02
Marv  Quest vs. The Monstars,"NRG Rising,Israel Starr",115.0,04:24
Voodoo,"NYXX,Aesthetic Perfection",100.0,04:19
Sadboy,Naaz,103.0,03:09
TAPED,Naaz,106.0,03:04
Wildest Dreams,"Nadine Lustre,Massiah,CARELESS",116.0,03:20
Yanyanyan,"Naira Marley,Mayorkun",100.0,03:23
Get to Know Ya,"Nao,KAYTRANADA",106.0,05:07
All Of Me,"Nashville Cast,Clare Bowen,Sam Palladio",110.0,03:22
Howling At Nothing,Nathaniel Rateliff & The Night Sweats,110.0,04:07
Intro,Nathaniel Rateliff & The Night Sweats,110.0,04:07
Late Night Party,Nathaniel Rateliff & The Night Sweats,110.0,04:07
Shake,Nathaniel Rateliff & The Night Sweats,110.0,04:07
Survivor,Nathaniel Rateliff & The Night Sweats,110.0,04:07
Fella,Navy Kenzo,102.0,03:10
Addicted,Ne-Yo,109.0,03:46
You Got It The Right Stuff,New Kids On The Block,112.0,04:09
Butta Love,Next,108.0,04:56
Lets Make A Movie,Next,106.0,04:49
The Lyre Of Orpheus,Nick Cave & The Bad Seeds,109.0,05:36
Thinking Bout You,Nick De La Hoyde,100.0,03:18
If We Hold On Together,Nicotine Dolls,109.0,03:48
Sentimental Street,Night Ranger,100.0,04:13
La Diaspora,"Nitty Scott,Zap Mama",100.0,04:14
Waltzing back,No Vacation,105.0,03:12
Good Cry,Noah Cyrus,100.0,03:17
Aladdin,Not3s,105.0,03:53
Afraid of Letting Go,Now United,108.0,03:29
Sunday Morning,Now United,116.0,03:46
The Flyest,O.T. Genasis,116.0,03:48
Maybe This Time,OK Go,115.0,03:15
Munidance,Ocean Wisdom,100.0,03:58
Voices In My Head,Ocean Wisdom,118.0,05:10
Stolen Away,Off With Their Heads,108.0,03:31
Oh,"Ohm,Octal Industries",114.0,04:44
Dirty  Stinkin Remix,"Ol' Dirty Bastard,Kelis",103.0,03:59
Take Me Higher,Old Man Canyon,116.0,03:25
Frankie,One11Twenty,106.0,03:37
7 Rings,Only Fire,110.0,03:03
The Pacific Age,Orchestral Manoeuvres In The Dark,115.0,03:59
Im Enough,"Oscar Scheller,Katie Gavin",108.0,03:02
Rambler,Outlaw,107.0,03:33
FWU,PARTYNEXTDOOR,107.0,04:55
Scared of Nothing,"PFV,CHVSE",113.0,03:08
HELP,POORSTACY,112.0,03:12
Carrie,PREP,100.0,03:41
On and On,PREP,113.0,03:29
Love Breaks Down,"PREP,Anna of the North",100.0,03:23
If I Saw You Again,Pages,110.0,03:24
Opposite Side,Panda Eyes,105.0,04:08
Let Me Down Easy,Paolo Nutini,105.0,03:32
Liquid Sunshine,Parliament,117.0,04:25
So Far Away,Part Time,117.0,05:03
I Can Treat You Better,"Part Time,Ariel Pink",104.0,04:34
Not A Day,Patrice Rushen,114.0,04:44
No Other Baby,Paul McCartney,101.0,04:17
All She Wants to Do is Me,Peabo Bryson,105.0,05:23
Brians Movie,Peach Pit,108.0,03:53
Talk to Me,Peaches,118.0,03:05
Long Road,Pearl Jam,102.0,05:59
Of the Girl,Pearl Jam,115.0,05:07
Unthought Known,Pearl Jam,119.0,04:08
Priests and Paramedics,Pedro The Lion,100.0,04:35
Break My Heart,Pentatonix,115.0,03:38
Daddy's Girl,Peter Cetera,110.0,03:45
I Dont Love Anyone But Youre Not Just Anyone,Peter Doherty,102.0,03:26
Love To Be Loved,Peter Gabriel,113.0,05:17
Too Much Pain,Peter Man,110.0,06:15
Scripted,"Pham,Yung Fusion",111.0,03:28
Against All Odds Take A Look At Me Now,Phil Collins,116.0,03:26
Take A Look At Me Now,Phil Collins,116.0,03:26
Dancing tight,"Phil Fearon,Galaxy",114.0,03:29
Call Me,Phil Perry,113.0,04:39
Lightning,"Philip Glass,Michael Riesman",100.0,06:42
Everything Is Possible,Philippa Hanna,112.0,03:28
Bathtub Gin,Phish,113.0,04:29
Pure Blue,Phoebe Green,105.0,03:39
Baby Meet My Lover.,Phony Ppl,101.0,05:39
The Gold It's In The....,Pink Floyd,117.0,03:07
Rice Balls,Pink Guy,112.0,03:16
Human Drama,Planningtorock,102.0,04:05
Strong Woman,Popcaan,113.0,03:23
Wine,Popcaan,100.0,03:09
Pets radio edit,Porno for Pyros,113.0,03:36
Machine Gun,Portishead,105.0,04:43
Never,"Post Malone,Sierra Ferrell",108.0,03:06
Lord youre holy,Prestonwood Worship,108.0,05:53
I Hate Myself,Pretenders,101.0,04:43
Age Aint Nothing But a Number Remix,Pretty Ricky,116.0,04:59
Nothing But a Number,Pretty Ricky,116.0,04:59
Girls  Boys,Prince,117.0,05:29
The Ballad of Dorothy Parker,Prince,103.0,03:55
We Are Very Happy,Princess Chelsea,100.0,04:56
Blue Jeans,ProTracks (Karaoke),100.0,03:42
In Bloom,"Protoje,Lila Iké",110.0,03:47
So Whatcha Gone Do Now?,Public Enemy,101.0,04:41
Religion II,Public Image Ltd.,109.0,05:52
Track 8,Public Image Ltd.,108.0,03:14
Into It,Q Da Fool,115.0,03:29
Hey Love,Quadron,117.0,03:23
Slippin,Quadron,118.0,04:32
Take Me to Heart,Quarterflash,114.0,03:32
Leaving Home Aint Easy,Queen,108.0,03:15
Paper,Queen Latifah,108.0,04:00
Backyard Party,R. Kelly,100.0,03:32
You Made Me Love You,R. Kelly,112.0,04:34
Down Low,"R. Kelly,Ronald Isley,Ernie Isley",108.0,04:48
Hard To Hold,"RAC,Tegan and Sara",110.0,03:31
Raise Your Love,RHODES,118.0,03:33
Unlock the Swag,"Rae Sremmurd,Jace of Two-9",114.0,05:22
Where You Are,Rahsaan Patterson,102.0,05:10
Mute,Raja Kumari,105.0,03:33
Motions,Raleigh Ritchie,114.0,04:14
Weather,Ralph,114.0,03:21
"Oh, What A Time To Be Me",Randy Travis,107.0,03:35
All Night Long,"Randy Travis,Merle Haggard",105.0,03:08
This World is Drunk,Raphael Saadiq,109.0,04:24
Never Know,Rapsody,104.0,04:35
Seventeen Years,Ratatat,116.0,04:26
I Go Out at Night,Ratboys,109.0,03:07
Jack and Jill,"Ray Parker Jr.,Raydio",106.0,04:36
Supergirl,Reamonn,116.0,04:06
Wop-A-Din-Din,Red House Painters,119.0,05:37
The closing song,Red Peters,114.0,03:13
Red Velvet - Better Be English Translation,Red Velvet,106.0,03:45
Red Velvet - LP English Translation,Red Velvet,106.0,03:45
Red Velvet - Pose English Translation,Red Velvet,106.0,03:45
Red Velvet - Power Up English Translation,Red Velvet,106.0,03:45
Red Velvet - Sunny Side Up English Translation,Red Velvet,106.0,03:45
Red Velvet - Taste English Translation,Red Velvet,106.0,03:45
Red Velvet IRENE  SEULGI - Diamond English Translation,Red Velvet,106.0,03:45
Product,"Rejjie Snow,Aminé,Dana Williams",105.0,04:16
Conceited,Remy Ma,100.0,03:39
Only Freestyle,Remy Ma,100.0,03:39
Deliquescing,"Rhombus,MC Antsman,Lisa Tomlins",103.0,05:26
If You Dont Love Me,Ria Mae,114.0,03:32
War paint,Richie Kotzen,106.0,04:26
Alone Again,Ricky Hil,109.0,03:15
Running After You,Riley Clemmons,114.0,03:10
Wicked Little Town Reprise,"Riverdale Cast,KJ Apa,Lili Reinhart",100.0,03:21
Carrie,"Riverdale Cast,Madelaine Petsch",108.0,03:18
The Whole Thang,Rob $tone,101.0,03:30
Riptide,"Robert Palmer,Eric 'ET' Thorngren",112.0,06:03
Adore,Robin Banks,116.0,03:16
Between the Lines,Robyn,112.0,04:05
Lost In You,Rod Stewart,119.0,05:02
Memento Mori,Rogue Wave,110.0,05:14
Her,Rosenfeld,102.0,03:50
Drink,Roshelle,115.0,03:10
The Heart Shaped Sea,Roxette,117.0,04:31
Epiphania,Rozz Dyliams,109.0,03:42
PICK IT UP,Ryan Basdao,106.0,03:01
My Diamond Is Too Rough,Ryan Bingham,119.0,05:36
SEVENTEEN - Light a Flame English Translation,SEVENTEEN,115.0,03:09
Holding Back,"SG Lewis,Gallant",104.0,03:45
Anuel AA - Nubes Negras English Translation,SIX60,110.0,03:21
Dontfuckupmywave / Fruitless,SIX60,110.0,03:21
GIVE IT UP,SIX60,110.0,03:21
Vibe with Me,SIX60,103.0,03:31
Ruining My Pretending,SWMRS,115.0,03:15
Rich Dont Stop,Saba,115.0,03:18
Bi-Polar Love,"Sadboy Loko,RJMrLA",100.0,03:30
No Love,"Sainté,Miraa May",112.0,03:11
Love Me Long Time,Salmonella Dub,105.0,06:47
Never Cry Wolf,Salmonella Dub,105.0,06:47
Lets Talk About Sex remix,Salt-N-Pepa,107.0,03:33
Cadillacs  Videos,"Sam Lachow,Ariana DeBoo,Magik",116.0,03:34
Where The Colors Dont Go,Sam Phillips,116.0,03:01
Letting Go,Sananda Maitreya,105.0,03:30
Ill Be Waiting,Santana,117.0,05:17
Well All Right,Santana,109.0,04:09
Jungle Cat,Saphir,102.0,03:22
Darkest Nights,Sarah Almoril,101.0,03:04
All Alone,Saturnus,110.0,06:20
Dripp Harderr,"Sauce Walka,Peso Peso",117.0,04:08
Fool of Me,"Say Lou Lou,Chet Faker",112.0,04:41
THat Part Black Hippy Remix,ScHoolboy Q,113.0,04:48
Tookie Knows Interlude,"ScHoolboy Q,Traffic,T.F",115.0,04:45
On My Sleeve,"Scribz Riley,Kaash Paige",117.0,03:02
Forever,Sebastian Mikael,117.0,04:04
Salv Goes to Hollywood,Sega Bodega,110.0,03:02
Expressing Myself,Selena Gomez,116.0,03:01
Prodigal Girl,Semler,102.0,03:01
Everything Is Everything,Sevdaliza,118.0,03:49
Been a Minute,"Sevyn Streeter,DeJ Loaf,August Alsina",103.0,03:49
Keep it Real,Shaggy,109.0,03:33
Rotten ol me,Shakey Graves,114.0,03:53
Count on,"Shallou,Colin",116.0,03:26
Lie,"Shallou,Riah",108.0,03:35
Rose Red Live,Sharon O'Neill,110.0,04:37
Take It Back,Shaylen,118.0,03:32
Olivers House,Sheila E.,118.0,06:20
Deamon Lover,Shocking Blue,101.0,06:05
I Didnt Mean To,Silk,116.0,06:57
Catch  Release,Silversun Pickups,115.0,04:39
Here We Are Chancer,Silversun Pickups,110.0,04:47
Abafazi,Sjava,117.0,05:46
Deep Down Trauma Hounds,Skinny Puppy,110.0,04:41
Dolphin girl,Sko/Torp,114.0,04:47
The City As You Walk,Skyhill,101.0,04:12
Redemption,Skylar Simone,108.0,03:18
Just A Touch Of Love,Slave,109.0,06:32
Messy Anywhere,Sleaford Mods,119.0,03:12
Herron,Slug † Christ,107.0,03:20
The Reservoir,Small Forward,113.0,05:08
Seen it all,Snap Capone,108.0,03:07
I Knew That,Snoop Dogg,115.0,03:59
Out Worn,Soccer Mommy,109.0,04:35
Thats It Im Crazy,Sofi Tukker,115.0,03:24
Stockholm Syndrome,Sofia Karlberg,100.0,03:29
All I Got,SonReal,113.0,03:15
lover you dont treat me no good live,Sonia Dada,115.0,04:05
Backwoods  Water Flow,Sosamann,107.0,03:39
White Women,Sparks,117.0,03:22
So May We Start,"Sparks,Adam Driver,Marion Cotillard,Simon Helberg",116.0,03:44
Peace to My Nine,Spice 1,101.0,04:58
Welcome To the Ghetto,Spice 1,101.0,04:09
House Of Love,Squeeze,103.0,03:23
The Day I Get Home,Squeeze,103.0,04:50
The Elephant Ride,Squeeze,114.0,03:21
Cant Get Over You,Starlito,115.0,03:10
Me  My Baby Saturday Night,Steam Powered Giraffe,110.0,03:36
Aja,Steely Dan,117.0,07:57
Change of the Guard,Steely Dan,119.0,03:39
Came From The Bottom,Stevie Wonder,107.0,03:52
I Just Called to Say I Love You,Stevie Wonder,114.0,04:22
Christmas Morning,Summer Thieves,115.0,03:39
Love Is a Scam,Summer Thieves,104.0,04:03
Saturday Night,Summer Thieves,115.0,03:39
San francisco street,Sun Rai,111.0,04:26
Norwegian Black Metal,Superhumanoids,112.0,04:00
Eye of the tiger,Survivor,109.0,04:03
Someday Soon,Suzy Bogguss,115.0,03:57
Money Is Flesh 2,Swans,107.0,04:56
Im Sprung Remix,"T-Pain,Dizzee Rascal",100.0,04:43
Pantone Blue,"T.I.,Alec Beretz",110.0,04:20
Ham,T1C3,100.0,03:50
Saturday night lights,"TCvsChanze,Jamaal Marvel",109.0,03:59
Das Da Way We Like Em,TLC,102.0,05:01
This is How it Should Be Done,TLC,105.0,04:27
Slim Chance And The Cant Hardly Playboys,"TOI,The NZ Team,Ellesse Andrews,Max Brown",104.0,03:21
IN THE MIDDLE,TOKYO’S REVENGE,117.0,03:23
Electric Night,"TRESOR,AKA",105.0,04:04
Fuck That Shit,TRU,114.0,04:11
I aint gon front my shot,"TRUCE,Wayno,Jay Emz,Ponifasio Samoa",100.0,03:44
City of the Rose,TYuS,115.0,03:31
Black and Blue,Tahuna Breaks,108.0,04:27
Back Up Offa Me,Talib Kweli,102.0,03:37
Happy Day,Talking Heads,113.0,03:55
Bands,"Tally Bands,Scotty Blu",116.0,04:25
So Cold,Tank,115.0,04:00
Belong Here,"Taran Jaber,JayteKz,Aundre Myles",112.0,05:10
Teardrops On My Guitar,Taylor Swift,100.0,03:23
I Cant Love You Too Deep,Tedy,100.0,04:34
Fade to Black,"Teflon Sega,OZZIE",110.0,03:30
The Ballad of Hollywood Jack and the Rage Kage,Tenacious D,103.0,05:05
Were,Teni,100.0,03:12
Infinince or Infinity?,Terence Etc.,103.0,06:07
Say Its Possible,Terra Naomi,114.0,03:50
Dogghouse,"Tha Eastsidaz,Tha Locs,Rapp'n 4 Tay",101.0,04:23
Not Enough,The Aces,100.0,03:06
Bambam - Party Romanization,"The Bamboos,Reginald AK",100.0,05:40
Cant Get Used To Losing You,The Beat,113.0,03:05
The Continuing Story of Bungalow Bill,The Beatles,115.0,03:14
Nearer To God,The Beautiful South,108.0,03:35
Let Your Love Flow,The Bellamy Brothers,109.0,03:16
Cake By The Ocean,The Bellas,119.0,03:14
Careless Teens,The Bilinda Butchers,115.0,04:21
Come On Petunia,The Blow,110.0,03:46
Nevertheless,The Brian Jonestown Massacre,114.0,03:32
Why Cant I Have You,The Cars,103.0,04:05
Sick Boy,"The Chainsmokers,Kelsea Ballerini",105.0,03:17
Dead Moon California Midnight In Solitude/The Difference Between Looking And Seeing,The Chills,115.0,03:28
Star Sign,The Chills,115.0,03:28
The Beautiful Song,The Chills,115.0,03:28
The Stagnant Pool,The Chills,115.0,03:28
Jean Jacket,"The Cool Kids,MakeLove,10ille",118.0,05:57
Fat Cats Bigga Fish,The Coup,105.0,05:54
Once More,The Desert Rose Band,119.0,03:45
How Do the Fools Survive?,The Doobie Brothers,103.0,05:17
Hang on to Your Life,The Doors,102.0,05:47
Get Up And Get Down,The Dramatics,100.0,03:11
Enough,The Endorphins,112.0,03:58
Waiting to Know You,The Fiery Furnaces,114.0,04:01
We Cant Win,The Goon Sax,117.0,03:13
Friends of Mine,The Guess Who,112.0,10:06
Blowin' In The Wind,The Hollies,118.0,04:12
Lets Get Together Again,The Human League,118.0,05:01
Walking On Broken Glass,The Karaoke Crew,115.0,04:20
Kissy Kissy,The Kills,104.0,05:02
Dopeman Bitch,The Last Mr. Bigg,104.0,04:39
Big Gay Heart,The Lemonheads,116.0,04:25
Hast Thou Considered the Tetrapod,The Mountain Goats,113.0,03:22
In League with Dragons,The Mountain Goats,105.0,03:11
Younger,The Mountain Goats,110.0,05:52
Reflections,The Neighbourhood,114.0,04:04
On the Mountain Tall,The Oh Hellos,105.0,03:07
Itll Shine When It Shines,The Ozark Mountain Daredevils,107.0,04:10
Standing on the Rock,The Ozark Mountain Daredevils,114.0,03:54
Lately,The Pesky Snakes,109.0,03:01
Bastard Landlord,The Pogues,102.0,03:09
The Crazy Area,"The Psycho Realm,Sick Jacken,Big Duke",101.0,05:14
Something In The Dark,The Rasmus,106.0,03:30
Positively Lost Me,The Rave-Ups,113.0,05:17
Chases House,The Revivalists,102.0,03:39
High and Dry,The Rolling Stones,114.0,03:08
Take Your Time Do It Right,The S.O.S Band,119.0,07:40
Jacking the Ball,The Sea and Cake,115.0,03:52
Sleeping Lessons,The Shins,115.0,03:57
The Tale of Dusty and Pistol Pete,The Smashing Pumpkins,114.0,04:35
Back to the Old House,The Smiths,104.0,03:06
Last Night I Had The Strangest Dream,The Sounds Of Garth Brooks,111.0,03:51
When There's No One Around,The Sounds Of Garth Brooks,111.0,03:51
Which One Of Them,The Sounds Of Garth Brooks,111.0,03:51
Stupid Marriage,The Specials,115.0,03:51
Clear Skies,The Strokes,106.0,03:03
I Heard It Through The Grapevine,The Temptations,115.0,03:04
I Wish You Love,The Temptations,102.0,03:34
Fine Line,The True Blue,110.0,03:46
The Gift,The Velvet Underground,113.0,08:19
Fernando Pando,The Virgins,105.0,04:16
Shameless,The Weeknd,100.0,04:13
I Got Loaded,The Wood Brothers,109.0,04:03
Friday's Child,"Them,Van Morrison",103.0,03:45
Airhead,Thomas Dolby,119.0,05:07
Budapest By Blimp,Thomas Dolby,111.0,08:39
Karma,"Thutmose,Alex Mali",106.0,03:19
A Helluva Day,Tim Finn,100.0,04:14
You Wanna Teach Me To Dance?,Tina Dickow,106.0,03:42
GoldenEye,Tina Turner,102.0,04:48
Paradise Is Here,Tina Turner,107.0,05:00
It Hurts,Tom Grennan,115.0,03:48
Raise a Ruckus,Tom Jones,105.0,03:15
South of the River,Tom Misch,113.0,04:29
My Life / Your World,Tom Petty and the Heartbreakers,110.0,04:38
A Week In A Country Jail,Tom T. Hall,114.0,03:03
It Feels Better Now,Tom T. Hall,110.0,03:02
We're All In This Thing Alone,Tom T. Hall,108.0,03:21
A Sweet Little Bullet From A Pretty Blue Gun,Tom Waits,112.0,05:36
A Sweet Little Bullet from a Pretty Blue Gun,Tom Waits,112.0,05:36
A Fine Fine Day,Tony Carey,113.0,04:25
Annie May,Tony! Toni! Toné!,102.0,05:46
Me and Ya Momma,"Too $hort,Mike Epps",113.0,03:37
Campo,Toro y Moi,107.0,03:50
Labyrinth,Toro y Moi,105.0,04:01
Balenciagas,Tory Lanez,105.0,03:46
Jalissas Intro,Tory Lanez,107.0,03:57
Lord Knows Pt. 2,Tory Lanez,105.0,03:46
T.L.C.,Tory Lanez,105.0,03:46
Telephone,Tory Lanez,105.0,03:46
Dont Talk About It,Tove Lo,100.0,03:54
You Made Your Bed So Lay In It,Travis Garland,107.0,04:04
Anymore,Tre Ward,102.0,03:46
Lately,TrenchMobb,107.0,04:48
All This Love,Trey Songz,116.0,04:48
Da Baddest Bitch,Trina,114.0,03:15
Innovators,Triple One,118.0,03:17
I Know You Hear Me,Troy Sneed,100.0,04:44
P power Original,Troy Tha Studio Rat,119.0,03:13
Say Yeah,TroyBoi,100.0,03:38
My My My,Troye Sivan,103.0,03:24
Nana Crib,"Tsu Surf,G Herbo,Mozzy",108.0,04:05
So Good,Tuxedo,105.0,03:40
Special,Tuxedo,110.0,03:03
Flatliners,Twin Shadow,114.0,04:19
Only for the Broken-Hearted,Twin Shadow,107.0,03:03
Brackin Like This,"Ty Dolla $ign,Joe Moses",105.0,03:07
Fireworkz Remix,Tyrese,113.0,04:54
Light My Fire,UB40,110.0,03:47
Crash,USHER,104.0,03:31
U Dont Have to Call,USHER,100.0,04:29
U Dont Have to Call Remix,USHER,100.0,04:29
1969,Ulver,114.0,03:59
Apocalypse 1993,Ulver,105.0,04:32
62,"Uncle Murda,Tory Lanez",119.0,03:45
Count the Lightning,Until The Ribbon Breaks,110.0,04:54
Watch,"Vado,070 Shake",115.0,04:27
Dont Wanna Be Your Lover Alternate Version,Vanessa White,100.0,03:12
Seasons,Vedo,116.0,03:20
What Do Make You Love Me,"Violet Sands,Justin Faust,Jean Tonique",115.0,03:32
Cry for Me,Violet Skies,104.0,03:37
Business Casual,"Vulfpeck,Coco O.",101.0,03:03
Paid For,Vundabar,108.0,03:38
Holla Kelly Kelly,"WWE,Jim Johnston,Desiree Jackson",105.0,03:19
Four Cornered Room,War,112.0,08:34
No Way Out,Warpaint,115.0,07:20
Get U Down,Warren G,102.0,03:48
Air,Waxahatchee,100.0,03:11
Let Me See His Western Nose,Webster Longman,109.0,03:35
Joppa Road,Ween,115.0,03:02
The Fruit Man,Ween,116.0,04:00
Ooh Baby Short Version,West Street Mob,114.0,04:40
Miracle,Whitney Houston,111.0,05:42
You'll Never Stand Alone,Whitney Houston,104.0,04:20
Somebody Bigger Than You And I,"Whitney Houston,Bobby Brown,Faith Evans,Johnny Gill,Monica,Ralph Tresvant",103.0,04:41
Loser,Whxami,115.0,03:23
Yolk in the Fur,Wild Pink,115.0,03:34
Men In Black,Will Smith,108.0,03:47
Still Think About You,William Clark Green,115.0,04:08
Water From A Vine Leaf,William Orbit,102.0,07:05
The Spark,William Prince,108.0,03:59
Is Everybody In?,"William S. Burroughs,Dub Spencer & Trance Hill",102.0,07:49
SKULLY,Witchouse 40k,109.0,03:14
City of Steel,Wiz Khalifa,108.0,06:50
Lemme Go,Wonda Kid,110.0,03:05
Rock Out Woop,Woop,118.0,03:49
Insurance,Wretch 32,110.0,03:10
Love On My Mind,Xscape,102.0,03:49
Strawberry Moon,YACHT,110.0,03:53
Citizen Of The Planet,"YC Banks,B. Smyth",119.0,03:51
Rihanna,YRN Murk,115.0,03:22
YUGYEOM - When U Fall English Translation,YUGYEOM,105.0,03:43
Feel It Out,Yaeji,116.0,03:16
$even,"Yeek,Bakar",110.0,03:36
On The Run Again,Yngwie Malmsteen,105.0,05:01
Did I Tell You,Yo La Tengo,113.0,03:27
Take Cover,Yoe Mase,115.0,03:55
Take On The World,You Me At Six,104.0,04:31
Rock With Us,Yung Pinch,102.0,03:27
Fantastic,Yung Simmie,117.0,03:49
Crazy,Yusuf / Cat Stevens,102.0,03:33
Friday is My Day,Z.Z. Hill,100.0,04:03
Hometown Girl,ZHU,100.0,04:12
Light It Up,"ZHU,TOKiMONSTA",105.0,03:18
Grateful,Zack Villere,104.0,03:27
Heartbreaker Part I Part II,Zapp,105.0,07:34
Mo Reala,"Zaytoven,Future",111.0,04:38
You Sexy Thing,Zella Day,104.0,03:20
Cocoa Nmeshs Whack Cal Zone remix,"Zipso,Mr Tee,Loces,Shy Guy",100.0,04:06
(Love Will) Turn Back The Hands Of Time,Zoom Karaoke,106.0,03:38
Touchy,a-ha,104.0,04:37
Cars Clothes Calories,blackbear,111.0,03:32
Rooftops,cehryl,114.0,03:47
You Love Me,flora cash,114.0,03:41
Non Pulp Fiction Simply Orange,"i.F.,Chuuwee,iMAGiNARY OTHER",113.0,03:55
I Dont Ask I Just Take,kizaru,115.0,03:22
World Series,mgk,111.0,03:35
Purple Dinosaur,nobigdyl.,111.0,03:57
Catching Feels,ppcocaine,110.0,03:15
CANT SLEEP CANT EAT IM SICK,歌っちゃ王,112.0,03:52
Lettuce,$uicideboy$,118.0,03:31
Trust Nobody,070 Shake,113.0,04:19
Dance With Me Remix,112,102.0,03:51
Peaches and Cream DJ Clue Remix,112,102.0,03:13
Why Does,112,113.0,04:32
Dust,13th Floor Elevators,103.0,03:53
Whatever U Is,"1takejay,Shoreline Mafia",105.0,03:06
Back On the Bullshit,"2 Chainz,Lil Wayne",103.0,04:57
Words of Wisdom,2Pac,109.0,04:54
Krazy,"3X Krazy,2Pac,Eklipze,B N T",101.0,04:52
Amnesia,5 Seconds of Summer,102.0,03:57
Cry,7xvn,101.0,03:51
Show Business,"A Tribe Called Quest,Diamond D,Lord Jamar,Sadat X",102.0,03:53
Uber,"A$AP ANT,Soduh,Icce",100.0,03:33
Lovers Waltz,A.A. Bondy,113.0,03:26
Girls,ABIR,105.0,03:25
Yallah,ABIR,104.0,03:05
Little Lover,AC/DC,106.0,05:38
Hate That I Love You,AJ Mitchell,103.0,03:19
Jika,AKA,102.0,05:04
Energy,"AKA,Gemini Major",115.0,04:08
AKMU - EVEREST ft. Sam Kim English Translation,"AKMU,Sam Kim",108.0,03:15
07 Lynch,"ALLBLACK,DaBoii",104.0,03:05
Bussdown Your Soul,"AUGUST 08,Barney Bones",102.0,03:57
This Could Be a Dream,AURORA,118.0,04:08
Shoestrings,AWOLNATION,104.0,03:11
Pynch,Aaron Salem,100.0,03:49
Tell Me Nothing,Abhi The Nomad,114.0,03:32
Finding My Way,Ace Hood,112.0,03:27
They Said It,Ace Hood,113.0,03:53
Lighter than Air,Ace of Hearts,117.0,05:35
Serious,Ady Suleiman,101.0,04:14
Fuck a Man,Afroman,100.0,06:00
Gurl From Kentucky,Afroman,100.0,06:01
Choices,Aha Gazelle,115.0,03:19
Susan,Aimee Mann,101.0,03:51
Symbiosis,"Ajebo Hustlers,Nissi",104.0,04:09
Full of Fire,Al Green,114.0,05:15
You Can Do It,Al Hudson And The Partners,116.0,03:30
Love In The First Degree,Alabama,104.0,03:18
Pictures And Memories,Alabama,104.0,03:41
Who I Am,Alan Jackson,119.0,03:48
Jealous of Me,Alec Wigdahl,118.0,03:07
Hold the Line,Alex Cameron,119.0,04:13
Sara Jo,Alex Cameron,105.0,03:02
Three Hearts,Alex Clare,101.0,04:25
Into a Fantasy,Alexander Rybak,103.0,03:32
Sunrise,Ali Gatie,100.0,03:04
Love Endeavor,"Alice Smith,Maurice Fulton",117.0,05:32
Medicine,Alkaline,102.0,03:20
Sell Off,Alkaline,104.0,03:09
Cult,Allday,100.0,03:38
Fuckin,Allday,113.0,04:04
Shapes in the Sun,Allman Brown,110.0,04:55
Becky Freestyle Challenge,Almighty Suspect,100.0,03:25
Kelly,Amason,117.0,03:38
Lose My Cool,"Amber Mark,Franc Moody",103.0,04:17
My Dear,America,117.0,04:18
Unconditional Love,America,113.0,03:07
We Got All Night,America,118.0,03:27
Pine  Ginger Remix,"Amindi,Tessellated,Valleyz",104.0,03:09
Silicon Valley,Anderson .Paak,115.0,04:04
Are You Serious,Andrew Bird,100.0,03:38
Blood Hunters,Andrew Combs,109.0,03:19
Drunk,Anfa Rose,115.0,03:27
Detox,Angel Haze,100.0,05:36
Shy,Ani DiFranco,114.0,04:45
As A Man,Anna Calvi,108.0,03:46
Do Fa Self,Apache,107.0,03:17
Let Me Love You / Baby Loves,"Ariana Grande,Lil Wayne",103.0,03:43
Venomous,Ariel Versace,118.0,03:40
